"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 25, 2019","0.29234","0.30015","0.30552","0.28687","1.38B","-2.60%"
"Apr 24, 2019","0.30013","0.31888","0.32424","0.29229","1.69B","-5.88%"
"Apr 23, 2019","0.31888","0.32266","0.33144","0.31875","1.23B","-1.17%"
"Apr 22, 2019","0.32266","0.32078","0.32989","0.31820","1.05B","0.59%"
"Apr 21, 2019","0.32078","0.32726","0.32861","0.31596","988.53M","-2.01%"
"Apr 20, 2019","0.32735","0.33030","0.33221","0.32266","827.62M","-0.89%"
"Apr 19, 2019","0.33028","0.33523","0.33537","0.32693","977.04M","-1.47%"
"Apr 18, 2019","0.33522","0.33369","0.34470","0.33265","1.23B","0.46%"
"Apr 17, 2019","0.33369","0.32390","0.33938","0.31909","1.29B","3.02%"
"Apr 16, 2019","0.32390","0.31904","0.32477","0.31662","847.47M","1.52%"
"Apr 15, 2019","0.31904","0.32630","0.32970","0.31427","1.13B","-2.23%"
"Apr 14, 2019","0.32632","0.32479","0.32996","0.32139","858.51M","0.46%"
"Apr 13, 2019","0.32482","0.32356","0.33539","0.32017","534.41M","0.36%"
"Apr 12, 2019","0.32364","0.32729","0.32812","0.31457","581.55M","-1.11%"
"Apr 11, 2019","0.32729","0.35317","0.35354","0.31992","1.04B","-7.33%"
"Apr 10, 2019","0.35315","0.34744","0.35765","0.34640","608.54M","1.65%"
"Apr 09, 2019","0.34742","0.35597","0.35597","0.34445","628.97M","-2.41%"
"Apr 08, 2019","0.35599","0.36155","0.37025","0.34519","997.38M","-1.55%"
"Apr 07, 2019","0.36157","0.35256","0.36668","0.35081","902.79M","2.56%"
"Apr 06, 2019","0.35256","0.36163","0.36208","0.34672","1.01B","-2.48%"
"Apr 05, 2019","0.36152","0.33013","0.37939","0.33010","1.67B","9.52%"
"Apr 04, 2019","0.33010","0.34055","0.34661","0.32519","1.11B","-3.08%"
"Apr 03, 2019","0.34058","0.35114","0.37043","0.32773","1.86B","-3.00%"
"Apr 02, 2019","0.35112","0.31244","0.35618","0.31158","1.66B","12.38%"
"Apr 01, 2019","0.31243","0.30891","0.31426","0.30780","498.48M","1.15%"
"Mar 31, 2019","0.30890","0.31104","0.31158","0.30744","355.84M","-0.69%"
"Mar 30, 2019","0.31104","0.30786","0.31813","0.30731","587.27M","1.04%"
"Mar 29, 2019","0.30784","0.30616","0.31012","0.30529","484.34M","0.55%"
"Mar 28, 2019","0.30616","0.31037","0.31037","0.30452","287.91M","-1.36%"
"Mar 27, 2019","0.31038","0.30280","0.31101","0.30063","467.14M","2.50%"
"Mar 26, 2019","0.30280","0.30297","0.30370","0.29407","375.75M","-0.06%"
"Mar 25, 2019","0.30297","0.30774","0.30799","0.29995","405.39M","-1.55%"
"Mar 24, 2019","0.30774","0.31170","0.31173","0.30538","291.97M","-1.27%"
"Mar 23, 2019","0.31171","0.31054","0.31258","0.30924","235.98M","0.37%"
"Mar 22, 2019","0.31057","0.31010","0.31248","0.30739","286.22M","0.15%"
"Mar 21, 2019","0.31010","0.31780","0.31911","0.30280","434.50M","-2.41%"
"Mar 20, 2019","0.31776","0.31583","0.32231","0.31177","400.29M","0.59%"
"Mar 19, 2019","0.31590","0.31479","0.31625","0.31280","310.94M","0.36%"
"Mar 18, 2019","0.31478","0.31568","0.31948","0.31241","312.31M","-0.28%"
"Mar 17, 2019","0.31568","0.31871","0.31902","0.31445","222.11M","-0.95%"
"Mar 16, 2019","0.31871","0.31505","0.32277","0.31494","413.37M","1.16%"
"Mar 15, 2019","0.31505","0.31153","0.31665","0.31117","295.02M","1.13%"
"Mar 14, 2019","0.31154","0.31374","0.31680","0.30686","352.04M","-0.71%"
"Mar 13, 2019","0.31376","0.31039","0.32520","0.30781","452.35M","1.08%"
"Mar 12, 2019","0.31039","0.31040","0.31157","0.30641","237.32M","0.00%"
"Mar 11, 2019","0.31039","0.31295","0.31447","0.30799","310.57M","-0.82%"
"Mar 10, 2019","0.31295","0.31388","0.31692","0.30933","260.45M","-0.30%"
"Mar 09, 2019","0.31388","0.30805","0.31886","0.30746","411.92M","1.90%"
"Mar 08, 2019","0.30802","0.31324","0.31624","0.30520","292.33M","-1.67%"
"Mar 07, 2019","0.31324","0.31648","0.31953","0.31292","373.33M","-1.02%"
"Mar 06, 2019","0.31648","0.31513","0.32161","0.31034","402.06M","0.43%"
"Mar 05, 2019","0.31513","0.30247","0.31794","0.30130","391.02M","4.19%"
"Mar 04, 2019","0.30246","0.31106","0.31213","0.29794","328.22M","-2.76%"
"Mar 03, 2019","0.31106","0.31411","0.31537","0.30889","273.79M","-0.97%"
"Mar 02, 2019","0.31411","0.31587","0.31818","0.31054","286.01M","-0.56%"
"Mar 01, 2019","0.31588","0.31412","0.32379","0.31200","444.26M","0.56%"
"Feb 28, 2019","0.31412","0.31108","0.31735","0.30738","400.32M","0.98%"
"Feb 27, 2019","0.31108","0.31686","0.31878","0.30199","422.85M","-1.88%"
"Feb 26, 2019","0.31703","0.32786","0.33463","0.31447","610.44M","-3.30%"
"Feb 25, 2019","0.32786","0.29778","0.33951","0.29775","735.19M","10.11%"
"Feb 24, 2019","0.29775","0.33285","0.34362","0.29478","917.84M","-10.54%"
"Feb 23, 2019","0.33285","0.32150","0.33403","0.31811","372.21M","3.53%"
"Feb 22, 2019","0.32150","0.32061","0.32363","0.31683","301.81M","0.28%"
"Feb 21, 2019","0.32061","0.33193","0.33292","0.31753","329.11M","-3.41%"
"Feb 20, 2019","0.33193","0.32318","0.33499","0.31790","494.66M","2.70%"
"Feb 19, 2019","0.32321","0.32242","0.34774","0.31949","786.67M","0.28%"
"Feb 18, 2019","0.32232","0.30345","0.32884","0.30240","649.99M","6.21%"
"Feb 17, 2019","0.30346","0.30089","0.30754","0.29894","223.12M","0.88%"
"Feb 16, 2019","0.30083","0.30175","0.30349","0.30012","155.95M","-0.31%"
"Feb 15, 2019","0.30175","0.30092","0.30610","0.29854","203.96M","0.28%"
"Feb 14, 2019","0.30091","0.30394","0.30542","0.30021","197.11M","-1.00%"
"Feb 13, 2019","0.30394","0.30509","0.31334","0.30141","267.02M","-0.33%"
"Feb 12, 2019","0.30494","0.30238","0.30782","0.29804","247.07M","0.85%"
"Feb 11, 2019","0.30238","0.30978","0.31011","0.30176","234.87M","-2.36%"
"Feb 10, 2019","0.30969","0.31220","0.31268","0.29951","263.54M","-0.80%"
"Feb 09, 2019","0.31220","0.31217","0.31627","0.30767","257.24M","0.01%"
"Feb 08, 2019","0.31217","0.29134","0.32012","0.28983","375.58M","7.15%"
"Feb 07, 2019","0.29134","0.28948","0.29418","0.28945","162.29M","0.63%"
"Feb 06, 2019","0.28950","0.29950","0.30063","0.28878","234.77M","-3.34%"
"Feb 05, 2019","0.29950","0.29919","0.30196","0.29684","190.39M","0.10%"
"Feb 04, 2019","0.29920","0.30228","0.30550","0.29794","196.48M","-1.02%"
"Feb 03, 2019","0.30227","0.31034","0.31202","0.29787","218.31M","-2.60%"
"Feb 02, 2019","0.31034","0.30687","0.31320","0.30467","241.25M","1.15%"
"Feb 01, 2019","0.30682","0.30926","0.31164","0.29648","340.35M","-0.80%"
"Jan 31, 2019","0.30930","0.32165","0.33604","0.30423","530.44M","-3.84%"
"Jan 30, 2019","0.32165","0.28746","0.32656","0.28533","443.15M","11.90%"
"Jan 29, 2019","0.28746","0.29280","0.29438","0.28236","220.02M","-1.83%"
"Jan 28, 2019","0.29280","0.30679","0.30769","0.28176","343.31M","-4.56%"
"Jan 27, 2019","0.30679","0.31302","0.31442","0.30402","167.92M","-1.99%"
"Jan 26, 2019","0.31304","0.31449","0.31872","0.31276","120.91M","-0.45%"
"Jan 25, 2019","0.31446","0.31663","0.31782","0.31143","125.90M","-0.68%"
"Jan 24, 2019","0.31660","0.31476","0.31857","0.31343","111.12M","0.59%"
"Jan 23, 2019","0.31476","0.31868","0.32033","0.31308","108.21M","-1.21%"
"Jan 22, 2019","0.31861","0.31838","0.32129","0.30761","146.55M","0.07%"
"Jan 21, 2019","0.31838","0.31774","0.32232","0.31428","92.93M","0.20%"
"Jan 20, 2019","0.31774","0.32856","0.33047","0.31251","139.58M","-3.29%"
"Jan 19, 2019","0.32855","0.32140","0.33529","0.32107","147.83M","2.22%"
"Jan 18, 2019","0.32140","0.32650","0.32658","0.31781","111.97M","-1.56%"
"Jan 17, 2019","0.32651","0.32686","0.32909","0.32106","163.82M","-0.09%"
"Jan 16, 2019","0.32682","0.32324","0.33268","0.32171","146.80M","1.06%"
"Jan 15, 2019","0.32338","0.32993","0.33282","0.31861","175.74M","-1.98%"
"Jan 14, 2019","0.32993","0.31218","0.33532","0.31216","354.73M","5.68%"
"Jan 13, 2019","0.31218","0.32712","0.33104","0.31070","359.65M","-4.57%"
"Jan 12, 2019","0.32715","0.32748","0.33110","0.32405","127.18M","-0.10%"
"Jan 11, 2019","0.32749","0.32723","0.33385","0.32227","204.53M","0.08%"
"Jan 10, 2019","0.32724","0.36664","0.38143","0.31950","561.56M","-10.75%"
"Jan 09, 2019","0.36664","0.36311","0.37046","0.36021","211.38M","0.97%"
"Jan 08, 2019","0.36311","0.36186","0.36914","0.35663","195.22M","0.35%"
"Jan 07, 2019","0.36186","0.36413","0.37456","0.35930","197.37M","-0.62%"
"Jan 06, 2019","0.36412","0.35106","0.36865","0.34823","188.41M","3.72%"
"Jan 05, 2019","0.35106","0.35540","0.36161","0.34853","187.69M","-1.28%"
"Jan 04, 2019","0.35560","0.35434","0.35960","0.34663","185.44M","0.36%"
